ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Trade_Flow,Scale,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
1,"Afghanistan, Islamic Rep. of",AF,AFG,Comparative advantage in low carbon technology products,Index,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLA,"Trade in Low Carbon Technology Products; Comparative Advantage","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,8.86887302764093e-05,8.13565480229169e-05,0.000585314635948257,,
2,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,3401.98,3217.85,24089.55,,
3,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,1.80161653230974e-05,1.74869727529927e-05,0.000127621664405525,,
4,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as share of total exports,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLX,"Trade in Low Carbon Technology Products; Exports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,,,,,,,,0.00040896101408233,0.000367678213302055,0.00278868033757096,,
5,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,5994168,7203199,15286531,19578602,,,,8503327,6561112,16117335.58,19123701.27,105468155.81,,
6,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,0.0582136809593062,0.0596975918184239,0.0997465816377547,0.109438806720816,,,,0.0423963024829335,0.0364100195722777,0.0853539945493859,0.103925180802356,0.558749399065299,,
7,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products as share of total imports,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLM,"Trade in Low Carbon Technology Products; Imports","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,0.197827080721967,0.214736544551085,0.29524298966387,0.304889965389203,,,,0.110005252580508,0.10026678422332,0.206556381214009,0.258201390983702,1.55647335973085,,
8,"Afghanistan, Islamic Rep. of",AF,AFG,Total trade in low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,16120737.56,19126919.12,105492245.36,,
9,"Afghanistan, Islamic Rep. of",AF,AFG,Total trade in low carbon technology products as percent of GDP,Percent,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,0.085372010714709,0.10394266777511,0.558877020729705,,
10,"Afghanistan, Islamic Rep. of",AF,AFG,Trade balance in low carbon technology products,US Dollars,"Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. Accessed on 2022-09-20; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. Accessed on 2022-09-23. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. Accessed on 2022-09-23; IMF staff calculations.",ECBTLB,"Trade in Low Carbon Technology Products; Trade Balance","Environment, Climate Change, Cross-Border, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,-16113933.6,-19120483.42,-105444066.26,,
